|No Origem|  |No destino|  |Distacia|
      76---------124     =      32
      76---------37     =      13
      76---------104     =      38
      76---------88     =      51
      76---------7     =      39
      76---------97     =      36
      76---------22     =      13
      76---------0     =      33
      76---------58     =      51
      76---------1     =      41
      76---------110     =      36
      76---------11     =      50
      76---------105     =      3
      76---------122     =      27
      76---------76     =      0
      76---------27     =      39
      76---------89     =      31
      76---------119     =      27
      76---------30     =      32
      76---------107     =      8
      76---------85     =      23
      76---------21     =      32
      76---------71     =      33
      76---------67     =      26
      76---------48     =      39
      76---------42     =      31
      76---------43     =      38
      76---------99     =      56
      76---------15     =      23
      76---------2     =      41
      76---------68     =      59
      76---------114     =      34
      76---------111     =      43
      76---------82     =      37
      76---------52     =      17
      76---------118     =      49
      76---------16     =      42
      76---------32     =      16
      76---------31     =      18
      76---------57     =      37
      76---------69     =      27
      76---------96     =      24
      76---------117     =      46
      76---------106     =      37
      76---------93     =      33
      76---------60     =      49
      76---------13     =      25
      76---------56     =      47
      76---------17     =      46
      76---------84     =      41
      76---------95     =      53
      76---------61     =      34
      76---------77     =      26
      76---------109     =      36
      76---------47     =      32
      76---------4     =      25
      76---------91     =      39
      76---------83     =      39
      76---------59     =      9
      76---------87     =      34
      76---------94     =      39
      76---------55     =      23
      76---------90     =      37
      76---------35     =      41
      76---------53     =      22
      76---------123     =      24
      76---------74     =      43
      76---------81     =      28
      76---------5     =      33
      76---------86     =      33
      76---------6     =      54
      76---------115     =      45
      76---------70     =      37
      76---------8     =      29
      76---------45     =      37
      76---------98     =      38
      76---------62     =      37
      76---------19     =      51
      76---------34     =      7
      76---------41     =      42
      76---------23     =      49
      76---------78     =      42
      76---------24     =      28
      76---------36     =      32
      76---------101     =      44
      76---------54     =      42
      76---------49     =      29
      76---------14     =      27
      27---------73     =      51
      27---------26     =      34
      27---------64     =      62
      27---------28     =      75
      27---------3     =      49
      27---------40     =      38
      27---------80     =      62
      27---------44     =      27
      27---------120     =      49
      27---------79     =      59
      27---------103     =      35
      27---------121     =      47
      27---------12     =      75
      27---------63     =      52
      27---------75     =      54
      27---------9     =      49
      27---------113     =      67
      27---------10     =      56
      27---------50     =      21
      27---------100     =      55
      27---------25     =      51
      27---------39     =      47
      27---------116     =      52
      27---------20     =      33
      27---------66     =      43
      27---------72     =      33
      27---------38     =      44
      27---------51     =      53
      27---------29     =      50
      27---------92     =      50
      27---------65     =      48
      27---------102     =      53
      27---------33     =      21
      27---------112     =      28
      27---------18     =      41
      27---------108     =      32
      27---------46     =      38
      27---------124     =      27
      27---------37     =      54
      27---------104     =      32
      27---------88     =      45
      27---------7     =      42
      27---------97     =      31
      27---------22     =      28
      27---------0     =      48
      27---------58     =      57
      27---------1     =      28
      27---------110     =      17
      27---------11     =      62
      27---------105     =      1
      27---------122     =      40
      27---------76     =      41
      27---------27     =      0
      27---------89     =      17
      27---------119     =      24
      27---------30     =      68
      27---------107     =      23
      27---------85     =      38
      27---------21     =      27
      27---------71     =      28
      27---------67     =      41
      27---------48     =      49
      27---------42     =      46
      27---------43     =      24
      27---------99     =      42
      27---------15     =      38
      27---------2     =      22
      27---------68     =      34
      27---------114     =      49
      27---------111     =      43
      27---------82     =      34
      27---------52     =      23
      27---------118     =      47
      27---------16     =      27
      27---------32     =      31
      27---------31     =      16
      27---------57     =      44
      27---------69     =      39
      27---------96     =      34
      27---------117     =      61
      27---------106     =      42
      27---------93     =      52
      27---------60     =      45
      27---------13     =      40
      27---------56     =      44
      27---------17     =      38
      27---------84     =      43
      27---------95     =      28
      27---------61     =      47
      27---------77     =      41
      27---------109     =      22
      27---------47     =      47
      27---------4     =      40
      27---------91     =      49
      27---------83     =      42
      27---------59     =      35
      27---------87     =      29
      27---------94     =      36
      27---------55     =      37
      27---------90     =      47
      27---------35     =      39
      27---------53     =      46
      27---------123     =      22
      27---------74     =      53
      27---------81     =      29
      27---------5     =      28
      27---------86     =      43
      27---------6     =      65
      27---------115     =      29
      27---------70     =      39
      27---------8     =      44
      27---------45     =      43
      27---------98     =      53
      27---------62     =      52
      27---------19     =      45
      27---------34     =      25
      27---------41     =      37
      27---------23     =      21
      27---------78     =      36
      27---------24     =      36
      27---------36     =      30
      27---------101     =      43
      27---------54     =      49
      27---------49     =      28
      27---------14     =      28
      89---------73     =      43
      89---------26     =      37
      89---------64     =      19
      89---------28     =      47
      89---------3     =      36
      89---------40     =      53
      89---------80     =      40
      89---------44     =      24
      89---------120     =      36
      89---------79     =      39
      89---------103     =      37
      89---------121     =      25
      89---------12     =      67
      89---------63     =      36
      89---------75     =      10
      89---------9     =      63
      89---------113     =      72
      89---------10     =      35
      89---------50     =      13
      89---------100     =      28
      89---------25     =      38
      89---------39     =      43
      89---------116     =      29
      89---------20     =      35
      89---------66     =      28
      89---------72     =      25
      89---------38     =      27
      89---------51     =      31
      89---------29     =      53
      89---------92     =      33
      89---------65     =      51
      89---------102     =      37
      89---------33     =      42
      89---------112     =      49
      89---------18     =      33
      89---------108     =      24
      89---------46     =      22
      89---------124     =      10
      89---------37     =      39
      89---------104     =      20
      89---------88     =      33
      89---------7     =      34
      89---------97     =      23
      89---------22     =      48
      89---------0     =      47
      89---------58     =      57
      89---------1     =      11
      89---------110     =      0
      89---------11     =      46
      89---------105     =      29
      89---------122     =      32
      89---------76     =      7
      89---------27     =      46
      89---------89     =      0
      89---------119     =      24
      89---------30     =      39
      89---------107     =      15
      89---------85     =      30
      89---------21     =      38
      89---------71     =      29
      89---------67     =      26
      89---------48     =      40
      89---------42     =      13
      89---------43     =      7
      89---------99     =      25
      89---------15     =      28
      89---------2     =      36
      89---------68     =      49
      89---------114     =      41
      89---------111     =      33
      89---------82     =      30
      89---------52     =      24
      89---------118     =      17
      89---------16     =      32
      89---------32     =      23
      89---------31     =      25
      89---------57     =      27
      89---------69     =      23
      89---------96     =      31
      89---------117     =      53
      89---------106     =      25
      89---------93     =      40
      89---------60     =      32
      89---------13     =      28
      89---------56     =      28
      89---------17     =      21
      89---------84     =      32
      89---------95     =      31
      89---------61     =      39
      89---------77     =      26
      89---------109     =      5
      89---------47     =      39
      89---------4     =      32
      89---------91     =      41
      89---------83     =      46
      89---------59     =      16
      89---------87     =      12
      89---------94     =      24
      89---------55     =      20
      89---------90     =      30
      89---------35     =      48
      89---------53     =      29
      89---------123     =      19
      89---------74     =      38
      89---------81     =      12
      89---------5     =      11
      89---------86     =      27
      89---------6     =      48
      89---------115     =      32
      89---------70     =      36
      89---------8     =      34
      89---------45     =      34
      89---------98     =      45
      89---------62     =      42
      89---------19     =      33
      89---------34     =      14
      89---------41     =      20
      89---------23     =      45
      89---------78     =      19
      89---------24     =      19
      89---------36     =      28
      89---------101     =      36
      89---------54     =      32
      89---------49     =      31
      89---------14     =      34
      119---------73     =      75
      119---------26     =      63
      119---------64     =      36
      119---------28     =      53
      119---------3     =      61
      119---------40     =      71
      119---------80     =      65
      119---------44     =      59
      119---------120     =      49
      119---------79     =      74
      119---------103     =      70
      119---------121     =      60
      119---------12     =      69
      119---------63     =      36
      119---------75     =      45
      119---------9     =      60
      119---------113     =      85
      119---------10     =      70
      119---------50     =      45
      119---------100     =      63
      119---------25     =      57
      119---------39     =      40
      119---------116     =      54
      119---------20     =      46
      119---------66     =      21
      119---------72     =      57
      119---------38     =      58
      119---------51     =      66
      119---------29     =      79
      119---------92     =      42
      119---------65     =      81
      119---------102     =      37
      119---------33     =      37
      119---------112     =      44
      119---------18     =      57
      119---------108     =      55
      119---------46     =      57
      119---------124     =      45
      119---------37     =      32
      119---------104     =      49
      119---------88     =      62
      119---------7     =      58
      119---------97     =      47
      119---------22     =      44
      119---------0     =      64
      119---------58     =      33
      119---------1     =      46
      119---------110     =      35
      119---------11     =      80
      119---------105     =      22
      119---------122     =      46
      119---------76     =      42
      119---------27     =      50
      119---------89     =      35
      119---------119     =      0
      119---------30     =      51
      119---------107     =      39
      119---------85     =      46
      119---------21     =      49
      119---------71     =      50
      119---------67     =      57
      119---------48     =      65
      119---------42     =      48
      119---------43     =      42
      119---------99     =      41
      119---------15     =      54
      119---------2     =      60
      119---------68     =      50
      119---------114     =      57
      119---------111     =      23
      119---------82     =      47
      119---------52     =      36
      119---------118     =      52
      119---------16     =      55
      119---------32     =      47
      119---------31     =      37
      119---------57     =      58
      119---------69     =      57
      119---------96     =      46
      119---------117     =      56
      119---------106     =      46
      119---------93     =      52
      119---------60     =      67
      119---------13     =      53
      119---------56     =      61
      119---------17     =      56
      119---------84     =      60
      119---------95     =      61
      119---------61     =      61
      119---------77     =      57
      119---------109     =      40
      119---------47     =      52
      119---------4     =      45
      119---------91     =      61
      119---------83     =      58
      119---------59     =      28
      119---------87     =      47
      119---------94     =      53
      119---------55     =      54
      119---------90     =      57
      119---------35     =      60
      119---------53     =      41
      119---------123     =      43
      119---------74     =      65
      119---------81     =      47
      119---------5     =      46
      119---------86     =      52
      119---------6     =      80
      119---------115     =      62
      119---------70     =      59
      119---------8     =      52
      119---------45     =      56
      119---------98     =      62
      119---------62     =      60
      119---------19     =      62
      119---------34     =      26
      119---------41     =      55
      119---------23     =      69
      119---------78     =      54
      119---------24     =      47
      119---------36     =      51
      119---------101     =      63
      119---------54     =      62
      119---------49     =      49
      119---------14     =      46
      30---------73     =      99
      30---------26     =      53
      30---------64     =      69
      30---------28     =      50
      30---------3     =      76
      30---------40     =      69
      30---------80     =      117
      30---------44     =      52
      30---------120     =      26
      30---------79     =      67
      30---------103     =      45
      30---------121     =      81
      30---------12     =      50
      30---------63     =      76
      30---------75     =      53
      30---------9     =      81
      30---------113     =      74
      30---------10     =      63
      30---------50     =      67
      30---------100     =      27
      30---------25     =      40
      30---------39     =      49
      30---------116     =      28
      30---------20     =      52
      30---------66     =      52
      30---------72     =      35
      30---------38     =      59
      30---------51     =      58
      30---------29     =      69
      30---------92     =      71
      30---------65     =      79
      30---------102     =      68
      30---------33     =      38
      30---------112     =      11
      30---------18     =      58
      30---------108     =      49
      30---------46     =      55
      30---------124     =      38
      30---------37     =      63
      30---------104     =      16
      30---------88     =      29
      30---------7     =      44
      30---------97     =      24
      30---------22     =      45
      30---------0     =      50
      30---------58     =      35
      30---------1     =      47
      30---------110     =      38
      30---------11     =      60
      30---------105     =      18
      30---------122     =      33
      30---------76     =      58
      30---------27     =      17
      30---------89     =      34
      30---------119     =      36
      30---------30     =      0
      30---------107     =      40
      30---------85     =      33
      30---------21     =      38
      30---------71     =      32
      30---------67     =      49
      30---------48     =      45
      30---------42     =      47
      30---------43     =      41
      30---------99     =      59
      30---------15     =      24
      30---------2     =      39
      30---------68     =      51
      30---------114     =      44
      30---------111     =      29
      30---------82     =      26
      30---------52     =      27
      30---------118     =      20
      30---------16     =      44
      30---------32     =      43
      30---------31     =      33
      30---------57     =      49
      30---------69     =      37
      30---------96     =      29
      30---------117     =      54
      30---------106     =      48
      30---------93     =      62
      30---------60     =      44
      30---------13     =      30
      30---------56     =      28
      30---------17     =      55
      30---------84     =      35
      30---------95     =      45
      30---------61     =      35
      30---------77     =      44
      30---------109     =      8
      30---------47     =      44
      30---------4     =      47
      30---------91     =      44
      30---------83     =      42
      30---------59     =      30
      30---------87     =      40
      30---------94     =      20
      30---------55     =      39
      30---------90     =      42
      30---------35     =      47
      30---------53     =      19
      30---------123     =      39
      30---------74     =      48
      30---------81     =      40
      30---------5     =      31
      30---------86     =      58
      30---------6     =      82
      30---------115     =      46
      30---------70     =      39
      30---------8     =      39
      30---------45     =      34
      30---------98     =      68
      30---------62     =      47
      30---------19     =      29
      30---------34     =      23
      30---------41     =      48
      30---------23     =      38
      30---------78     =      53
      30---------24     =      34
      30---------36     =      47
      30---------101     =      48
      30---------54     =      47
      30---------49     =      45
      30---------14     =      37
      107---------73     =      66
      107---------26     =      33
      107---------64     =      33
      107---------28     =      52
      107---------3     =      14
      107---------40     =      45
      107---------80     =      54
      107---------44     =      69
      107---------120     =      13
      107---------79     =      34
      107---------103     =      43
      107---------121     =      17
      107---------12     =      62
      107---------63     =      43
      107---------75     =      24
      107---------9     =      26
      107---------113     =      61
      107---------10     =      45
      107---------50     =      31
      107---------100     =      38
      107---------25     =      16
      107---------39     =      24
      107---------116     =      14
      107---------20     =      34
      107---------66     =      41
      107---------72     =      24
      107---------38     =      41
      107---------51     =      23
      107---------29     =      45
      107---------92     =      47
      107---------65     =      52
      107---------102     =      44
      107---------33     =      49
      107---------112     =      56
      107---------18     =      31
      107---------108     =      26
      107---------46     =      18
      107---------124     =      24
      107---------37     =      46
      107---------104     =      31
      107---------88     =      44
      107---------7     =      32
      107---------97     =      22
      107---------22     =      5
      107---------0     =      25
      107---------58     =      43
      107---------1     =      34
      107---------110     =      28
      107---------11     =      42
      107---------105     =      36
      107---------122     =      31
      107---------76     =      47
      107---------27     =      47
      107---------89     =      25
      107---------119     =      20
      107---------30     =      51
      107---------107     =      0
      107---------85     =      15
      107---------21     =      24
      107---------71     =      25
      107---------67     =      18
      107---------48     =      31
      107---------42     =      23
      107---------43     =      32
      107---------99     =      50
      107---------15     =      15
      107---------2     =      35
      107---------68     =      51
      107---------114     =      26
      107---------111     =      35
      107---------82     =      29
      107---------52     =      30
      107---------118     =      41
      107---------16     =      34
      107---------32     =      8
      107---------31     =      12
      107---------57     =      29
      107---------69     =      19
      107---------96     =      16
      107---------117     =      40
      107---------106     =      29
      107---------93     =      57
      107---------60     =      41
      107---------13     =      17
      107---------56     =      43
      107---------17     =      40
      107---------84     =      50
      107---------95     =      45
      107---------61     =      26
      107---------77     =      18
      107---------109     =      30
      107---------47     =      24
      107---------4     =      17
      107---------91     =      31
      107---------83     =      32
      107---------59     =      17
      107---------87     =      26
      107---------94     =      35
      107---------55     =      15
      107---------90     =      29
      107---------35     =      53
      107---------53     =      26
      107---------123     =      26
      107---------74     =      35
      107---------81     =      26
      107---------5     =      25
      107---------86     =      34
      107---------6     =      46
      107---------115     =      46
      107---------70     =      29
      107---------8     =      21
      107---------45     =      38
      107---------98     =      30
      107---------62     =      29
      107---------19     =      44
      107---------34     =      38
      107---------41     =      34
      107---------23     =      41
      107---------78     =      34
      107---------24     =      20
      107---------36     =      26
      107---------101     =      39
      107---------54     =      34
      107---------49     =      21
      107---------14     =      41
      85---------73     =      58
      85---------26     =      45
      85---------64     =      18
      85---------28     =      30
      85---------3     =      19
      85---------40     =      61
      85---------80     =      78
      85---------44     =      65
      85---------120     =      51
      85---------79     =      81
      85---------103     =      53
      85---------121     =      39
      85---------12     =      75
      85---------63     =      13
      85---------75     =      41
      85---------9     =      37
      85---------113     =      73
      85---------10     =      67
      85---------50     =      50
      85---------100     =      40
      85---------25     =      21
      85---------39     =      22
      85---------116     =      30
      85---------20     =      38
      85---------66     =      41
      85---------72     =      40
      85---------38     =      16
      85---------51     =      39
      85---------29     =      43
      85---------92     =      45
      85---------65     =      32
      85---------102     =      14
      85---------33     =      49
      85---------112     =      39
      85---------18     =      36
      85---------108     =      37
      85---------46     =      33
      85---------124     =      40
      85---------37     =      9
      85---------104     =      43
      85---------88     =      56
      85---------7     =      27
      85---------97     =      38
      85---------22     =      51
      85---------0     =      30
      85---------58     =      48
      85---------1     =      35
      85---------110     =      33
      85---------11     =      57
      85---------105     =      28
      85---------122     =      47
      85---------76     =      25
      85---------27     =      45
      85---------89     =      33
      85---------119     =      33
      85---------30     =      28
      85---------107     =      33
      85---------85     =      0
      85---------21     =      21
      85---------71     =      22
      85---------67     =      34
      85---------48     =      47
      85---------42     =      33
      85---------43     =      35
      85---------99     =      53
      85---------15     =      31
      85---------2     =      57
      85---------68     =      62
      85---------114     =      11
      85---------111     =      25
      85---------82     =      28
      85---------52     =      29
      85---------118     =      47
      85---------16     =      37
      85---------32     =      24
      85---------31     =      27
      85---------57     =      47
      85---------69     =      34
      85---------96     =      21
      85---------117     =      38
      85---------106     =      39
      85---------93     =      29
      85---------60     =      55
      85---------13     =      38
      85---------56     =      43
      85---------17     =      42
      85---------84     =      53
      85---------95     =      58
      85---------61     =      42
      85---------77     =      11
      85---------109     =      22
      85---------47     =      34
      85---------4     =      27
      85---------91     =      36
      85---------83     =      35
      85---------59     =      22
      85---------87     =      35
      85---------94     =      35
      85---------55     =      48
      85---------90     =      39
      85---------35     =      65
      85---------53     =      41
      85---------123     =      36
      85---------74     =      27
      85---------81     =      41
      85---------5     =      33
      85---------86     =      49
      85---------6     =      56
      85---------115     =      26
      85---------70     =      34
      85---------8     =      6
      85---------45     =      49
      85---------98     =      51
      85---------62     =      14
      85---------19     =      39
      85---------34     =      32
      85---------41     =      50
      85---------23     =      26
      85---------78     =      45
      85---------24     =      13
      85---------36     =      41
      85---------101     =      24
      85---------54     =      21
      85---------49     =      31
      85---------14     =      23
      21---------73     =      89
      21---------26     =      51
      21---------64     =      87
      21---------28     =      60
      21---------3     =      44
      21---------40     =      67
      21---------80     =      76
      21---------44     =      58
      21---------120     =      67
      21---------79     =      88
      21---------103     =      106
      21---------121     =      29
      21---------12     =      74
      21---------63     =      65
      21---------75     =      74
      21---------9     =      97
      21---------113     =      98
      21---------10     =      57
      21---------50     =      66
      21---------100     =      65
      21---------25     =      46
      21---------39     =      66
      21---------116     =      39
      21---------20     =      46
      21---------66     =      67
      21---------72     =      36
      21---------38     =      74
      21---------51     =      35
      21---------29     =      36
      21---------92     =      38
      21---------65     =      46
      21---------102     =      42
      21---------33     =      42
      21---------112     =      49
      21---------18     =      61
      21---------108     =      66
      21---------46     =      30
      21---------124     =      49
      21---------37     =      62
      21---------104     =      43
      21---------88     =      56
      21---------7     =      3
      21---------97     =      34
      21---------22     =      39
      21---------0     =      27
      21---------58     =      45
      21---------1     =      41
      21---------110     =      30
      21---------11     =      54
      21---------105     =      32
      21---------122     =      27
      21---------76     =      53
      21---------27     =      47
      21---------89     =      30
      21---------119     =      14
      21---------30     =      55
      21---------107     =      44
      21---------85     =      1
      21---------21     =      0
      21---------71     =      1
      21---------67     =      30
      21---------48     =      34
      21---------42     =      34
      21---------43     =      36
      21---------99     =      54
      21---------15     =      28
      21---------2     =      39
      21---------68     =      55
      21---------114     =      12
      21---------111     =      26
      21---------82     =      7
      21---------52     =      8
      21---------118     =      47
      21---------16     =      38
      21---------32     =      21
      21---------31     =      28
      21---------57     =      30
      21---------69     =      31
      21---------96     =      18
      21---------117     =      39
      21---------106     =      40
      21---------93     =      30
      21---------60     =      49
      21---------13     =      34
      21---------56     =      41
      21---------17     =      43
      21---------84     =      54
      21---------95     =      48
      21---------61     =      39
      21---------77     =      12
      21---------109     =      23
      21---------47     =      35
      21---------4     =      28
      21---------91     =      33
      21---------83     =      36
      21---------59     =      19
      21---------87     =      29
      21---------94     =      33
      21---------55     =      37
      21---------90     =      40
      21---------35     =      65
      21---------53     =      38
      21---------123     =      37
      21---------74     =      28
      21---------81     =      29
      21---------5     =      12
      21---------86     =      50
      21---------6     =      57
      21---------115     =      27
      21---------70     =      31
      21---------8     =      7
      21---------45     =      28
      21---------98     =      52
      21---------62     =      15
      21---------19     =      40
      21---------34     =      33
      21---------41     =      37
      21---------23     =      27
      21---------78     =      46
      21---------24     =      14
      21---------36     =      42
      21---------101     =      25
      21---------54     =      22
      21---------49     =      32
      21---------14     =      24
      71---------73     =      33
      71---------26     =      41
      71---------64     =      18
      71---------28     =      30
      71---------3     =      15
      71---------40     =      35
      71---------80     =      38
      71---------44     =      57
      71---------120     =      30
      71---------79     =      63
      71---------103     =      53
      71---------121     =      28
      71---------12     =      42
      71---------63     =      13
      71---------75     =      40
      71---------9     =      37
      71---------113     =      73
      71---------10     =      51
      71---------50     =      41
      71---------100     =      15
      71---------25     =      17
      71---------39     =      22
      71---------116     =      16
      71---------20     =      13
      71---------66     =      34
      71---------72     =      15
      71---------38     =      16
      71---------51     =      34
      71---------29     =      35
      71---------92     =      37
      71---------65     =      32
      71---------102     =      14
      71---------33     =      41
      71---------112     =      39
      71---------18     =      32
      71---------108     =      37
      71---------46     =      29
      71---------124     =      26
      71---------37     =      9
      71---------104     =      36
      71---------88     =      49
      71---------7     =      2
      71---------97     =      33
      71---------22     =      38
      71---------0     =      26
      71---------58     =      44
      71---------1     =      35
      71---------110     =      29
      71---------11     =      53
      71---------105     =      28
      71---------122     =      26
      71---------76     =      25
      71---------27     =      45
      71---------89     =      29
      71---------119     =      13
      71---------30     =      28
      71---------107     =      33
      71---------85     =      0
      71---------21     =      17
      71---------71     =      0
      71---------67     =      29
      71---------48     =      33
      71---------42     =      33
      71---------43     =      35
      71---------99     =      53
      71---------15     =      27
      71---------2     =      33
      71---------68     =      54
      71---------114     =      11
      71---------111     =      25
      71---------82     =      6
      71---------52     =      7
      71---------118     =      46
      71---------16     =      37
      71---------32     =      20
      71---------31     =      27
      71---------57     =      29
      71---------69     =      30
      71---------96     =      17
      71---------117     =      38
      71---------106     =      39
      71---------93     =      29
      71---------60     =      47
      71---------13     =      33
      71---------56     =      40
      71---------17     =      42
      71---------84     =      53
      71---------95     =      47
      71---------61     =      38
      71---------77     =      11
      71---------109     =      22
      71---------47     =      34
      71---------4     =      27
      71---------91     =      32
      71---------83     =      35
      71---------59     =      18
      71---------87     =      28
      71---------94     =      32
      71---------55     =      36
      71---------90     =      39
      71---------35     =      64
      71---------53     =      37
      71---------123     =      36
      71---------74     =      27
      71---------81     =      28
      71---------5     =      11
      71---------86     =      49
      71---------6     =      56
      71---------115     =      26
      71---------70     =      30
      71---------8     =      6
      71---------45     =      27
      71---------98     =      51
      71---------62     =      14
      71---------19     =      39
      71---------34     =      32
      71---------41     =      36
      71---------23     =      26
      71---------78     =      45
      71---------24     =      13
      71---------36     =      41
      71---------101     =      24
      71---------54     =      21
      71---------49     =      31
      71---------14     =      23
      67---------73     =      17
      67---------26     =      46
      67---------64     =      36
      67---------28     =      66
      67---------3     =      44
      67---------40     =      62
      67---------80     =      131
      67---------44     =      89
      67---------120     =      29
      67---------79     =      50
      67---------103     =      65
      67---------121     =      86
      67---------12     =      52
      67---------63     =      59
      67---------75     =      55
      67---------9     =      48
      67---------113     =      48
      67---------10     =      80
      67---------50     =      27
      67---------100     =      88
      67---------25     =      43
      67---------39     =      40
      67---------116     =      51
      67---------20     =      49
      67---------66     =      49
      67---------72     =      39
      67---------38     =      69
      67---------51     =      61
      67---------29     =      62
      67---------92     =      64
      67---------65     =      72
      67---------102     =      59
      67---------33     =      51
      67---------112     =      58
      67---------18     =      47
      67---------108     =      48
      67---------46     =      53
      67---------124     =      61
      67---------37     =      32
      67---------104     =      61
      67---------88     =      32
      67---------7     =      48
      67---------97     =      37
      67---------22     =      22
      67---------0     =      42
      67---------58     =      60
      67---------1     =      31
      67---------110     =      45
      67---------11     =      47
      67---------105     =      31
      67---------122     =      46
      67---------76     =      7
      67---------27     =      30
      67---------89     =      38
      67---------119     =      34
      67---------30     =      39
      67---------107     =      15
      67---------85     =      30
      67---------21     =      39
      67---------71     =      40
      67---------67     =      0
      67---------48     =      14
      67---------42     =      38
      67---------43     =      45
      67---------99     =      63
      67---------15     =      30
      67---------2     =      48
      67---------68     =      64
      67---------114     =      28
      67---------111     =      14
      67---------82     =      44
      67---------52     =      24
      67---------118     =      15
      67---------16     =      49
      67---------32     =      23
      67---------31     =      25
      67---------57     =      44
      67---------69     =      34
      67---------96     =      31
      67---------117     =      53
      67---------106     =      44
      67---------93     =      40
      67---------60     =      56
      67---------13     =      0
      67---------56     =      54
      67---------17     =      53
      67---------84     =      17
      67---------95     =      47
      67---------61     =      41
      67---------77     =      0
      67---------109     =      43
      67---------47     =      39
      67---------4     =      30
      67---------91     =      46
      67---------83     =      45
      67---------59     =      16
      67---------87     =      41
      67---------94     =      46
      67---------55     =      30
      67---------90     =      26
      67---------35     =      48
      67---------53     =      29
      67---------123     =      31
      67---------74     =      50
      67---------81     =      35
      67---------5     =      40
      67---------86     =      40
      67---------6     =      45
      67---------115     =      48
      67---------70     =      21
      67---------8     =      35
      67---------45     =      21
      67---------98     =      45
      67---------62     =      43
      67---------19     =      48
      67---------34     =      14
      67---------41     =      48
      67---------23     =      43
      67---------78     =      33
      67---------24     =      2
      67---------36     =      39
      67---------101     =      41
      67---------54     =      31
      67---------49     =      34
      67---------14     =      32
      48---------73     =      3
      48---------26     =      32
      48---------64     =      22
      48---------28     =      52
      48---------3     =      48
      48---------40     =      48
      48---------80     =      108
      48---------44     =      34
      48---------120     =      17
      48---------79     =      36
      48---------103     =      51
      48---------121     =      65
      48---------12     =      76
      48---------63     =      45
      48---------75     =      64
      48---------9     =      106
      48---------113     =      34
      48---------10     =      66
      48---------50     =      13
      48---------100     =      69
      48---------25     =      31
      48---------39     =      26
      48---------116     =      40
      48---------20     =      35
      48---------66     =      35
      48---------72     =      25
      48---------38     =      58
      48---------51     =      49
      48---------29     =      48
      48---------92     =      50
      48---------65     =      58
      48---------102     =      45
      48---------33     =      37
      48---------112     =      44
      48---------18     =      33
      48---------108     =      48
      48---------46     =      39
      48---------124     =      39
      48---------37     =      46
      48---------104     =      47
      48---------88     =      18
      48---------7     =      34
      48---------97     =      23
      48---------22     =      8
      48---------0     =      28
      48---------58     =      42
      48---------1     =      21
      48---------110     =      31
      48---------11     =      33
      48---------105     =      17
      48---------122     =      32
      48---------76     =      33
      48---------27     =      16
      48---------89     =      28
      48---------119     =      23
      48---------30     =      54
      48---------107     =      39
      48---------85     =      18
      48---------21     =      27
      48---------71     =      28
      48---------67     =      21
      48---------48     =      0
      48---------42     =      26
      48---------43     =      31
      48---------99     =      49
      48---------15     =      18
      48---------2     =      37
      48---------68     =      50
      48---------114     =      29
      48---------111     =      35
      48---------82     =      30
      48---------52     =      31
      48---------118     =      36
      48---------16     =      37
      48---------32     =      11
      48---------31     =      15
      48---------57     =      44
      48---------69     =      22
      48---------96     =      19
      48---------117     =      42
      48---------106     =      32
      48---------93     =      47
      48---------60     =      43
      48---------13     =      20
      48---------56     =      46
      48---------17     =      43
      48---------84     =      38
      48---------95     =      44
      48---------61     =      29
      48---------77     =      21
      48---------109     =      33
      48---------47     =      27
      48---------4     =      16
      48---------91     =      34
      48---------83     =      31
      48---------59     =      20
      48---------87     =      29
      48---------94     =      38
      48---------55     =      17
      48---------90     =      32
